,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Avera,1,US,1546818900,80,33.19,-82.53,62.96,3.58
375,Mkuranga,64,TZ,1546820398,84,-7.12,39.21,78.27,5.37
376,Pevek,0,RU,1546819890,100,69.7,170.27,-28.97,4.36
377,Lubango,0,AO,1546819932,94,-14.92,13.49,55.91,1.12
378,Kurilsk,68,RU,1546820398,100,45.23,147.88,23.87,17.45
379,Nioki,44,CD,1546820398,96,-2.72,17.69,73.82,3.24
380,Port Blair,56,IN,1546819957,100,11.67,92.75,82.28,21.92
381,Pochutla,20,MX,1546814460,55,15.74,-96.47,86.0,6.93
382,Saint Anthony,90,US,1546818960,74,43.97,-111.68,32.0,17.22
383,Lichinga,68,MZ,1546820399,100,-13.3,35.25,64.46,1.9
384,Hokitika,68,NZ,1546819860,100,-42.72,170.96,59.78,8.72
385,Moose Factory,1,CA,1546815600,70,51.26,-80.61,-5.81,5.82
386,Ballina,92,IE,1546820212,96,54.11,-9.15,51.59,13.98
387,Milford,1,US,1546817700,81,40.77,-97.05,51.44,5.82
388,Tairua,20,NZ,1546820400,50,-37.02,175.85,79.98,6.04
389,Dhidhdhoo,8,MV,1546820400,100,6.88,73.1,79.98,5.48
390,San Jeronimo,24,PE,1546820400,83,-13.65,-73.37,50.15,1.12
391,Olinda,90,EC,1546819200,83,-2.03,-79.75,78.8,8.05
392,Trelew,88,AR,1546820401,20,-43.25,-65.31,77.15,7.38
393,Buchanan,20,LR,1546817400,94,5.88,-10.05,75.2,6.71
394,Manggar,8,ID,1546820401,100,-2.88,108.27,77.87,2.57
395,Zhucheng,90,CN,1546819200,86,30.85,114.8,39.2,2.24
396,Ngunguru,0,NZ,1546819918,84,-35.62,174.5,72.87,1.45
397,Limerick,75,IE,1546819200,93,52.66,-8.63,50.0,8.05
398,Mahuva,0,IN,1546820402,100,21.09,71.76,68.06,20.92
399,Serenje,92,ZM,1546820402,97,-13.23,30.22,64.95,2.8
400,Pangnirtung,90,CA,1546815600,69,66.15,-65.72,-9.41,20.8
401,Cabedelo,0,BR,1546819200,83,-6.97,-34.84,77.0,4.7
402,Half Moon Bay,90,US,1546818960,89,37.46,-122.43,53.6,21.92
403,Rivadavia,76,AR,1546820338,70,-31.53,-68.59,69.27,0.89
404,Camacha,20,PT,1546817400,72,33.08,-16.33,62.6,9.17
405,Omboue,92,GA,1546819885,100,-1.57,9.26,79.35,1.57
406,Laguna,90,MX,1546818300,93,27.52,-110.01,59.0,4.7
407,Saint-Leu,20,RE,1546819200,65,-21.15,55.28,80.6,4.7
408,Gossas,56,SN,1546819200,36,14.49,-16.06,75.2,4.92
409,Vao,76,EE,1546819297,92,59.1,26.19,20.36,10.29
410,Kholodnyy,8,RU,1546820404,0,62.72,147.95,-48.86,2.46
411,Sangar,48,RU,1546819904,41,63.92,127.47,-27.03,4.59
412,Karratha,0,AU,1546820220,41,-20.74,116.85,88.67,5.14
413,Praia,0,BR,1546815600,73,-20.25,-43.81,77.0,5.82
414,Wahiawa,75,US,1546819020,58,21.5,-158.02,82.94,10.29
415,Okha,0,RU,1546819377,80,53.59,142.95,1.55,16.89
416,Lucapa,92,AO,1546820405,97,-8.42,20.74,67.34,3.36
417,Terrace Bay,48,CA,1546820405,100,48.78,-87.1,21.89,15.21
418,Sinnamary,92,GF,1546818894,100,5.38,-52.96,76.38,6.15
419,Naranjito,90,EC,1546819200,83,-2.17,-79.46,78.8,8.05
420,Los Arabos,56,CU,1546820407,64,22.73,-80.72,71.12,7.72
421,San Cristobal,75,EC,1546815600,100,-0.39,-78.55,55.4,4.7
422,Yichun,0,CN,1546820407,31,47.72,128.88,-22.08,2.35
423,Lyaskelya,88,RU,1546820407,89,61.77,31.02,22.97,11.97
424,Carrick-on-Suir,0,IE,1546820407,95,52.35,-7.41,43.98,10.63
425,Portland,90,US,1546817940,82,45.52,-122.67,44.96,6.93
426,Goya,80,AR,1546820408,95,-29.14,-59.27,75.08,13.98
427,Upata,56,VE,1546820408,67,8.02,-62.41,75.35,6.93
428,Mugur-Aksy,0,RU,1546820409,41,50.38,90.44,-31.58,2.01
429,Petropavlovsk-Kamchatskiy,12,RU,1546817400,71,53.05,158.65,6.8,4.47
430,Beloha,88,MG,1546820211,88,-25.17,45.06,73.1,3.91
431,Voineasa,90,RO,1546817400,85,45.42,23.96,19.4,8.05
432,Gizo,75,IL,1546818600,70,31.8,34.94,48.2,18.34
433,Milkovo,90,BG,1546817400,100,41.53,24.68,30.2,4.7
434,Faya,0,SA,1546815600,32,18.39,42.45,55.4,6.93
435,Ingham,0,AU,1546820411,93,-18.65,146.16,80.84,6.71
436,Shadrinsk,0,RU,1546820411,70,56.09,63.63,4.43,10.29
437,Biak,20,ID,1546819926,90,-0.91,122.88,82.28,2.57
438,Marsberg,90,DE,1546818660,100,51.45,8.86,41.0,8.05
439,Wilmington,1,US,1546818900,44,39.75,-75.55,42.98,12.75
440,Preobrazheniye,0,RU,1546820412,74,42.9,133.91,-3.77,2.57
441,Anadyr,8,RU,1546815600,66,64.73,177.51,10.4,38.03
442,Ribeira Brava,20,PT,1546817400,77,32.65,-17.07,62.6,5.82
443,Labuhan,0,ID,1546819848,81,-2.54,115.51,80.03,2.57
444,Megion,90,RU,1546819200,85,61.04,76.11,14.0,13.42
445,Morro Bay,90,US,1546818960,74,35.37,-120.85,59.0,9.17
446,Carnarvon,0,ZA,1546819847,29,-30.97,22.13,63.87,10.96
447,Kita,20,JP,1546819200,30,35.76,139.74,46.4,9.17
448,Cockburn Town,0,TC,1546819626,99,21.46,-71.14,79.17,13.98
449,Gat,76,SN,1546819200,36,14.69,-16.54,75.2,4.25
450,Kasempa,88,ZM,1546820414,99,-13.46,25.83,66.17,4.25
451,Solnechnyy,8,RU,1546820414,34,50.72,136.64,-23.3,3.36
452,Broome,32,GB,1546818960,100,52.47,1.45,44.6,3.36
453,Tias,0,ES,1546819200,63,28.96,-13.65,66.2,9.17
454,Clyde River,90,CA,1546817700,83,70.47,-68.59,-7.61,27.51
455,Hobyo,92,SO,1546819852,86,5.35,48.53,76.02,17.22
456,Thunder Bay,90,CA,1546815600,85,48.41,-89.26,21.2,11.41
457,Novobirilyussy,64,RU,1546820415,76,56.95,90.69,9.56,8.72
458,Kumluca,48,TR,1546819839,66,36.37,30.29,4.7,1.57
459,Maragogi,92,BR,1546820234,91,-9.01,-35.22,77.42,5.48
460,Porto Nacional,48,BR,1546820416,92,-10.7,-48.41,76.02,3.58
461,Lingao,88,CN,1546820416,99,19.91,109.69,67.79,5.93
462,Burnie,0,AU,1546820225,100,-41.05,145.91,62.66,10.18
463,Banda Aceh,44,ID,1546820252,100,5.56,95.32,74.36,2.35
464,Grand-Santi,92,GF,1546820416,100,4.27,-54.38,71.66,2.46
465,Phan Thiet,0,VN,1546820417,91,10.93,108.1,77.37,19.24
466,Qaqortoq,80,GL,1546820181,94,60.72,-46.03,31.92,9.28
467,Usuki,40,JP,1546819200,87,33.11,131.8,46.4,3.36
468,San Antonio,0,CL,1546819200,77,-33.58,-71.61,64.4,11.41
469,Tamandare,48,BR,1546820418,57,-8.28,-70.75,85.61,5.14
470,Kachiry,56,KZ,1546820419,81,53.07,76.1,3.93,10.96
471,Pastavy,64,BY,1546820419,79,55.11,26.84,17.25,2.91
472,Adre,20,TD,1546820277,23,13.47,22.2,67.7,15.88
473,Fenoarivo,75,MG,1546819200,100,-18.93,47.44,66.2,3.36
474,Porto Novo,20,BR,1546819200,83,-23.68,-45.44,75.2,6.93
475,Lodwar,44,KE,1546820420,53,3.12,35.6,69.77,2.68
476,Mindelheim,90,DE,1546818600,100,48.05,10.49,33.8,6.93
477,Santa Catalina,75,PH,1546819200,78,9.33,122.86,78.8,9.17
478,Yar-Sale,68,RU,1546820270,91,66.83,70.83,3.26,16.78
479,Ewa Beach,90,US,1546819020,44,21.32,-158.01,82.94,10.29
480,Cerano,0,IT,1546818600,35,45.41,8.78,42.8,12.75
481,Fortuna,0,ES,1546817400,60,38.18,-1.13,41.0,4.7
482,Denpasar,20,ID,1546819200,83,-8.65,115.22,82.4,5.82
483,Manuk Mangkaw,48,PH,1546820421,100,4.8,119.85,83.18,3.36
484,Vanimo,88,PG,1546820233,98,-2.67,141.3,83.72,17.67
485,Palma del Rio,0,ES,1546817400,78,37.7,-5.28,41.0,1.12
486,Jacareacanga,44,BR,1546820243,91,-6.22,-57.76,77.51,2.68
487,Kieta,56,PG,1546820180,92,-6.22,155.63,84.62,3.47
488,Sambava,92,MG,1546819384,100,-14.27,50.17,77.78,6.15
489,Albertville,75,FR,1546818600,74,45.68,6.39,41.0,3.36
490,Saint-Georges,68,CA,1546820423,54,46.12,-70.67,14.42,10.63
491,Aykhal,36,RU,1546819914,55,65.95,111.51,-12.45,5.7
492,Clearlake,90,US,1546818960,89,38.96,-122.63,46.94,8.05
493,Lasa,75,CY,1546817400,58,34.92,32.53,55.4,19.46
494,Qinhuangdao,0,CN,1546820423,59,39.94,119.59,5.06,5.93
495,Hirara,75,JP,1546819200,77,24.8,125.28,69.8,13.87
496,Benjamin Constant,40,BR,1546819200,100,-4.38,-70.03,77.0,3.47
497,Saint-Augustin,90,FR,1546817400,74,44.83,-0.61,37.4,3.36
498,Inverell,88,AU,1546820424,62,-29.78,151.11,73.55,6.93
499,Gryazi,80,RU,1546820424,90,52.5,39.96,11.36,4.25
500,Verkhniy Fiagdon,68,RU,1546820424,85,42.83,44.31,22.25,1.57
501,Pervomayskoye,68,RU,1546820424,85,57.07,86.23,12.53,15.66
502,Red Bluff,90,US,1546819500,89,40.18,-122.24,46.94,23.04
503,Harper,1,US,1546818900,72,30.3,-99.24,69.08,6.93
504,Male,8,UA,1546820425,77,50.74,33.7,11.22,8.72
505,Faanui,68,PF,1546819653,100,-16.48,-151.75,83.22,11.74
506,Sao Paulo do Potengi,0,BR,1546819200,83,-5.89,-35.76,77.0,4.7
507,Almenara,0,BR,1546820425,85,-16.17,-40.69,73.01,1.68
508,Tromso,75,NO,1546818600,95,69.65,18.96,35.6,17.22
509,Haines Junction,0,CA,1546820212,39,60.75,-137.51,-28.16,2.01
510,Puerto Leguizamo,48,CO,1546820426,91,-0.19,-74.78,76.61,2.01
511,Havoysund,75,NO,1546818600,80,71.0,24.66,35.6,35.57
512,Bonthe,56,SL,1546819914,74,7.53,-12.5,82.19,5.26
513,Madingou,80,CG,1546820426,99,-4.17,13.56,69.59,1.23
514,Bowen,90,AU,1546819200,69,-20.01,148.25,80.6,10.29
515,Dafeng,24,CN,1546820427,83,33.2,120.46,34.85,6.71
516,Matagami,0,NG,1546820427,30,9.67,8.4,65.63,9.06
517,Soe,90,EE,1546818600,79,57.91,26.05,23.0,12.75
518,Barabai,36,ID,1546820428,89,-2.59,115.38,78.95,2.68
519,Babstovo,0,RU,1546820428,69,48.12,132.48,-15.42,3.13
520,Cabo San Lucas,90,MX,1546818300,88,22.89,-109.91,73.4,6.93
521,Dzhebariki-Khaya,36,RU,1546820429,82,62.22,135.8,-39.41,2.68
522,Port Said,36,EG,1546820429,72,25.34,30.55,35.48,3.02
523,Salta,20,AR,1546819200,83,-24.79,-65.41,78.8,0.45
524,Jalu,20,LY,1546820197,60,29.03,21.55,44.12,10.85
525,Vila Franca do Campo,75,PT,1546817400,88,37.72,-25.43,64.4,23.04
526,Tucuman,0,PE,1546820212,68,-17.17,-70.89,65.81,2.68
527,Perth,75,GB,1546818600,100,56.4,-3.43,48.2,4.7
